date,belgium_bacton_zeebrugge_pipe_import,netherlands_balgzand_bacton_pipeline_import,norway_langeled_easington_pipeline_import,norway_via_FLAGS_st_fergus_pipeline_imports,norway_frigg_st_fergus_pipeline_imports,norway_SAGE_st_fergus_pipeline_imports,norway_CATS_teesside_pipeline_imports,norway_total_pipeline_imports,total_pipeline_imports,algeria_shipping_lng_imports,angola_shipping_lng_imports,australia_shipping_lng_imports,belgium_shipping_lng_imports,cameroon_shipping_lng_imports,chile_shipping_lng_imports,dominican_republic_shipping_lng_imports,egypt_shipping_lng_imports,equatorial_guinea_shipping_lng_imports,france_shipping_lng_imports,netherlands_shipping_lng_imports,nigeria_shipping_lng_imports,norway_shipping_lng_imports,oman_shipping_lng_imports,peru_shipping_lng_imports,qatar_shipping_lng_imports,russia_shipping_lng_imports,spain_shipping_lng_imports,trinidad_trobago_shipping_lng_imports,USA_shipping_lng_imports,yemen_shipping_lng_imports,total_shipping_lng_imports,total_imports
January 2000,0,0,0,0,1040,0,0,1040,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040
February 2000,0,0,0,0,971,0,0,971,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971
March 2000,0,0,0,0,1063,0,0,1063,1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063
April 2000,0,0,0,0,975,0,0,975,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975
May 2000,0,0,0,0,859,0,0,859,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859
June 2000,0,0,0,0,595,0,0,595,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595
July 2000,0,0,0,0,549,0,0,549,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549
August 2000,0,0,0,0,920,0,0,920,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920
September 2000,0,0,0,0,993,0,0,993,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993
October 2000,0,0,0,0,1105,0,0,1105,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105
November 2000,351,0,0,0,1087,0,0,1087,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438
December 2000,2604,0,0,0,1122,0,0,1122,3726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3726
