date,pipe_imports_belgium_GWh,pipe_imports_netherlands_GWh,pipe_imports_norway_GWh,lng_imports_GWh,total_imports_GWh,pipe_exports_belgium_GWh,pipe_exports_netherlands_GWh,pipe_exports_norway_GWh,pipe_exports_republic_ireland_GWh,pipe_exports_isle_of_man_GWh,lng_exports_GWh,total_exports_GWh,net_imports_GWh
Jan-00,0,0,1040,0,1040,5884,974,0,3051,0,0,9909,-8869
Feb-00,0,0,971,0,971,7111,846,0,2841,0,0,10798,-9827
Mar-00,0,0,1063,0,1063,8219,908,0,2843,0,0,11970,-10907
Apr-00,0,0,975,0,975,11783,814,0,2778,0,0,15375,-14400
May-00,0,0,859,0,859,12055,689,0,2514,0,0,15258,-14399
Jun-00,0,0,595,0,595,10563,651,0,2876,0,0,14090,-13495
Jul-00,0,0,549,0,549,8706,342,0,2382,0,0,11430,-10881
Aug-00,0,0,920,0,920,12397,446,0,2108,0,0,14951,-14031
Sep-00,0,0,993,0,993,11294,416,0,2173,0,0,13883,-12890
Oct-00,0,0,1105,0,1105,4459,468,0,2481,0,0,7408,-6303
Nov-00,351,0,1087,0,1438,2103,635,0,2888,0,0,5626,-4188
Dec-00,2604,0,1122,0,3726,0,534,0,3313,0,0,3847,-121
Jan-01,980,0,1063,0,2043,137,500,0,3839,0,0,4476,-2433
Feb-01,1976,0,927,0,2903,0,477,0,3166,0,0,3643,-740
Mar-01,124,0,883,0,1007,2195,545,0,3499,0,0,6239,-5232
Apr-01,0,0,681,0,681,7075,486,0,3367,0,0,10928,-10247
May-01,0,0,719,0,719,9400,506,0,3186,0,0,13092,-12373
Jun-01,0,0,696,0,696,10371,57,0,2873,0,0,13301,-12605
Jul-01,0,0,0,0,0,14389,286,0,3215,0,0,17890,-17890
Aug-01,0,0,721,0,721,12083,515,0,3137,0,0,15735,-15014
Sep-01,0,0,699,0,699,8857,558,0,2746,0,0,12161,-11462
Oct-01,0,0,1557,0,1557,10098,573,0,2898,0,0,13569,-12012
Nov-01,0,0,1738,0,1738,5184,553,0,2902,0,0,8639,-6901
Dec-01,935,0,3050,0,3985,1057,584,0,3300,0,0,4941,-956
Jan-02,4035,0,3120,0,7155,0,566,0,2934,0,0,3500,3655
Feb-02,1513,0,4170,0,5683,0,354,0,2817,0,0,3171,2512
Mar-02,0,0,4649,0,4649,5527,509,0,3450,0,0,9486,-4837
Apr-02,0,0,2202,0,2202,9765,461,0,3938,0,0,14164,-11962
May-02,0,0,743,0,743,15163,459,0,3272,0,0,18894,-18151
Jun-02,0,0,1504,0,1504,13637,443,0,2862,0,0,16942,-15438
Jul-02,755,0,1796,0,2551,912,432,0,2851,0,0,4195,-1644
Aug-02,20,0,1701,0,1721,11294,205,0,3006,0,0,14505,-12784
Sep-02,0,0,1590,0,1590,10948,384,0,3345,0,0,14677,-13087
Oct-02,0,0,4411,0,4411,12962,379,0,3265,0,0,16606,-12195
Nov-02,0,0,6082,0,6082,7173,267,0,3416,0,0,10856,-4774
Dec-02,322,0,5915,0,6237,3808,378,0,3584,0,0,7770,-1533
Jan-03,0,0,6803,0,6803,1191,336,0,3656,0,0,5183,1620
Feb-03,0,0,5940,0,5940,4634,318,0,3568,0,0,8520,-2580
Mar-03,0,0,6899,0,6899,15785,369,0,4008,0,0,20162,-13263
Apr-03,0,0,4615,0,4615,17573,325,0,3510,0,0,21408,-16793
May-03,0,0,5808,0,5808,17398,325,0,3448,0,0,21171,-15363
Jun-03,0,0,2947,0,2947,17744,71,0,3034,0,0,20849,-17902
Jul-03,0,0,4145,0,4145,17752,181,0,3157,0,0,21090,-16945
Aug-03,0,0,3714,0,3714,17961,217,0,2911,0,0,21089,-17375
Sep-03,0,0,2690,0,2690,4985,477,0,3137,0,0,8599,-5909
Oct-03,0,0,8745,0,8745,7628,275,0,3475,0,0,11378,-2633
Nov-03,344,0,8946,0,9290,0,251,0,3483,0,0,3734,5556
Dec-03,4043,0,10503,0,14546,0,279,0,3419,0,0,3698,10848
Jan-04,6478,0,10174,0,16652,0,263,0,3131,0,0,3394,13258
Feb-04,5767,0,9543,0,15310,0,287,0,3144,0,0,3431,11879
Mar-04,2230,0,10430,0,12660,1045,265,0,3643,0,0,4953,7707
